"X","SPECIMEN","lat","long","year","ShortMonth","date","res","nmonth","nm","year_nm","long.aea","lat.aea","dem"
104,"RSA263810",35.717747,-118.410428,1970,"sep","22-Sep","r",9,9,"1970_09",143648.358457063,-254269.901535031,925
105,"RSA2694",39.042979,-122.763658,1928,"jul","12-Jul","r",7,7,"1928_07",-238953.915295252,117599.266203708,592
106,"RSA461755",34.116,-118.179,1893,"aug","13-Aug","nr",8,8,"1893_08",167975.213127575,-431685.94693404,185
107,"RSA509144",34.431,-119.759,1952,"sep","2-Sep","nr",9,9,"1952_09",22143.1564344322,-398320.252594215,52
108,"RSA519207",34.853784,-114.627765,1960,"jul","28-Jul","nr",7,7,"1960_07",490681.437520707,-337515.741067794,157
109,"RSA535830",34.787,-120.349,1991,"aug","7-Aug","nr",8,8,"1991_08",-31920.7416021311,-358776.620255894,180
110,"RSA544435",33.558,-117.116,1991,"jun","14-Jun","nr",6,6,"1991_06",267887.409943178,-491107.460028804,445
111,"RSA688946",36.92138,-119.28111,1998,"nov","14-Nov","r",11,11,"1998_11",63953.7614354242,-121478.770253475,311
112,"RSA706804",35.322,-119.364,2004,"aug","16-Aug","nr",8,8,"2004_08",57771.9517392085,-299237.781113517,88
113,"RSA752138",34.033,-117.541,2009,"jul","4-Jul","nr",7,7,"2009_07",227053.789827817,-439561.814985851,262
114,"RSA755371",39.761,-121.797,2009,"aug","13-Aug","nr",8,8,"2009_08",-153874.298664186,195364.886259301,81
115,"RSA782809",33.826,-118.342,2010,"aug","5-Aug","nr",8,8,"2010_08",153503.64255241,-464123.321221318,24
116,"RSA812542",33.61606,-117.7578,2012,"oct","31-Oct","nr",10,10,"2012_10",208132.728990776,-486283.914488154,114
117,"RSA817101",37.907628,-122.215468,2005,"aug","18-Aug","r",8,8,"2005_08",-194514.357088888,-9815.20373053383,98
118,"RSA96888",38.998812,-122.798508,1948,"aug","5-Aug","r",8,8,"1948_08",-242111.155272676,112780.894109545,582
119,"SBBG100116",39.791,-122.388,1989,"oct","21-Oct","r",10,10,"1989_10",-204387.38253507,199813.825396065,183
120,"SBBG108591",35.699534,-118.427269,1966,"sep","4-Sep","r",9,9,"1966_09",142160.152303178,-256318.263377469,823
121,"SBBG111089",35.986,-121.231,1994,"jul","19-Jul","nr",7,7,"1994_07",-110859.631226197,-224951.925071476,306
122,"SBBG1909",34.431,-119.759,1952,"aug","22-Aug","nr",8,8,"1952_08",22143.1564344322,-398320.252594215,52
123,"SBBG20861",36.532,-120.064,1963,"nov","22-Nov","nr",11,11,"1963_11",-5722.82467921702,-164996.725174325,55
124,"SBBG47055",34.787,-120.349,1973,"jun","14-Jun","nr",6,6,"1973_06",-31920.7416021311,-358776.620255894,180
125,"SBBG50223",35.705598,-118.451058,1972,"sep","23-Sep","r",9,9,"1972_09",139999.037151124,-255680.114440138,803
126,"SBBG51139",34.793,-120.3325,1973,"jul","12-Jul","nr",7,7,"1973_07",-30409.265214265,-358115.98659577,221
127,"SBBG69830",34.793,-120.3325,1973,"jul","12-Jul","nr",7,7,"1973_07",-30409.265214265,-358115.98659577,221
128,"SBBG69831",34.431,-119.758,1952,"sep","5-Sep","nr",9,9,"1952_09",22235.0365524574,-398320.018553072,52
129,"SBBG69833",34.116,-118.179,1893,"aug","15-Aug","nr",8,8,"1893_08",167975.213127575,-431685.94693404,185
130,"SBBG87566",34.431,-119.759,1952,"sep","5-Sep","nr",9,9,"1952_09",22143.1564344322,-398320.252594215,52
131,"SBBG87567",34.431,-119.759,1952,"sep","2-Sep","nr",9,9,"1952_09",22143.1564344322,-398320.252594215,52
132,"SBBG87568",34.431,-119.759,1952,"aug","22-Aug","nr",8,8,"1952_08",22143.1564344322,-398320.252594215,52
133,"SBBG88199",34.787,-120.346,1970,"sep","23-Sep","nr",9,9,"1970_09",-31646.3524966163,-358777.625973859,180
134,"SBBG93266",33.65,-117.92,1936,"jul","26-Jul","nr",7,7,"1936_07",192996.434695727,-482864.912725486,25
135,"SBBG97464",34.787,-120.346,1991,"aug","7-Aug","nr",8,8,"1991_08",-31646.3524966163,-358777.625973859,180
136,"SD112948",40,-122.183,1963,"aug","8-Aug","nr",8,8,"1963_08",-186310.236716199,222603.517510573,82
